ID,Cepa,Latitud,Longitud,Código Lab,Origen,Pigmentación,Envío a Punta Arenas,Temperatura -80°,Medio,Gram,Morfología 1,Morfología 2,Lecitinasa,Ureasa,Lipasa,Amilasa,Proteasa,Catalasa,Celulasa,Fosfatasa,AIA,+ 5°C,+ 25°C,+ 37°C,AMP,CTX,CXM,CAZ,AK,C,TE,AM E.COLI,AM SAUREUS,Gen. 16s,Metabolómica,Nicolas,Nombre del Proyecto,Prueba_form,PRUEBA_ARCHIVO
1,SBLA 5,-50.97430,-72.79610,A12,Laguna Amarga,Naranjo,15-may,C-5,LB/3,+,Bacilos,N/I,+,+,+,+,+,+,++,+,+,1.0,1.0,1.0,R,R,R,R,R,R,R,-,-,Jeotgalibacillus sp.,si,N/I,Innova Sur sur,aa,13r
2,SBLB 2,-50.97430,-72.79610,A16,Lago Maravilloso,Amarillo,15-may,D-1,LB/3,+,cocos,N/I,+,+,-,-,+++,+,+++,-,P,1.0,1.0,1.0,R,R,R,R,P,R,R,-,-,Kocuria sp,si,N/I,Innova Sur sur,aaa,sa
3,SBLB 4,-50.97430,-72.79610,A18,Lago Maravilloso,Blanquecino,15-may,D-3,LB/3,-,Bacilos,N/I,+,-,+,-,+++,+,+++,+++,+++,1.0,1.0,1.0,R,R,R,R,P,S,I,-,-,Pseudomonas sp.,si,MDR,Lechuga,bb,s
4,SBLB 6,-50.97430,-72.79610,A20,Lago Maravilloso,Blanquecino,15-may,D-5,LB/3,+,Bacilos,N/I,+,-,+,-,+++,+,-,+++,+++,1.0,1.0,1.0,R,R,R,R,P,I,R,-,-,Pseudomonas sp.,si,MDR,Lechuga,N/I,dsdf
5,SBLB 8,-50.97430,-72.79610,A22,Lago Maravilloso,Blanquecino,15-may,D-7,LB/3,-,bacilos,N/I,+,-,+,+,+,+,+++,++,+++,1.0,1.0,1.0,R,R,R,R,P,R,R,-,+,Pseudomonas sp.,N/I,MDR,N/I,b,N/I
6,SBLA 2,-50.97510,-72.79290,A29,Laguna Amarga,Blanco,15-may,C2,LB/3,+,Bacilos,N/I,+,-,-,P,+,-,+,-,P,1.0,1.0,1.0,R,R,R,?,P,R,I,-,+,Peribacillus sp.,si,MDR,Mike,e,saccas
7,LA 15,-51.06140,-73.15320,A3,Laguna Amarga,amarilla,15-may,J2,LB/3,+,Bacilos,N/I,+,-,- ,+,+,+,+++,+,+,1.0,1.0,1.0,R,R,R,R,P,R,I,-,+,Bacillus sp.,si,N/I,Jovan,s,N/I
8,LA 16,-51.06140,-73.15320,A4,Laguna Amarga,Blanco,15-may,J3,LB/3,+,Bacilos,N/I,+,-,+,-,+++,+,++,-,P,1.0,1.0,1.0,R,R,R,R,P,R,R,-,+,Bacillus sp.,si,N/I,Jovan,N/I,eqef
9,PLA 14,-51.06140,-73.15320,X19,Planta laguna amarga,Blanco,N/I,N/I,CM,+,Bacilos,N/I,-,-,++,-,++,+,+++,-,P,N/I,1.0,N/I,N/I,N/I,N/I,N/I,N/I,N/I,N/I,N/I,N/I,Bacillus sp.,N/I,N/I,N/I,sa,N/I
10,PE 10,-51.06140,-73.15320,B14,lago pehoe,Negro,10-may,F6,TSB,+,Bacilos,N/I,+,-,++,+,+++,-,++,++,N/I,N/I,1.0,N/I,N/I,N/I,N/I,N/I,N/I,N/I,N/I,-,+,Janthinobacterium sp.,N/I,N/I,Mike,N/I,N/I
